Country,Country,Region,Subregion,Population,Christian,%,-Muslim-,%,Unaffiliated,%,Hindu,%,Buddhist,%,FolkReligion,%,OtherReligion,%,Jewish,%
Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,4054967400,286589204,7.07%,985154511,24.30%,858059957,21.16%,1025258470,25.28%,481820400,11.88%,364948996,9.00%,52639460,1.30%,160090,0.00%
Australia, Australia,Asia and the Pacific,Australia and New Zealand,22270000,14987710,67.30%,534480,2.40%,5389340,24.20%,311780,1.40%,601290,2.70%,155890,0.70%,178160,0.80%,111350,0.50%
Australia and New Zealand,Australia and New Zealand,Asia and the Pacific,Australia and New Zealand,26640000,17478610,65.61%,586920,2.20%,6988760,26.23%,403550,1.51%,671210,2.52%,177740,0.67%,208750,0.78%,120090,0.45%
Austria, Austria,Europe,Central Europe,8390000,6745560,80.40%,453060,5.40%,1132650,13.50%,0,0.00%,16780,0.20%,0,0.00%,8390,0.10%,16780,0.20%
Azerbaijan, Azerbaijan,Asia and the Pacific,Western Asia,9190000,275700,3.00%,8905110,96.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Bahamas, Bahamas,Latin America and the Caribbean,Caribbean,340000,326400,96.00%,340,0.10%,10540,3.10%,0,0.00%,0,0.00%,1020,0.30%,1020,0.30%,0,0.00%
Bahrain, Bahrain,The Middle East and North Africa,The Middle East,1260000,182700,14.50%,885780,70.30%,23940,1.90%,123480,9.80%,31500,2.50%,0,0.00%,2520,0.20%,7560,0.60%
Bangladesh, Bangladesh,Asia and the Pacific,Southern Asia,148690000,297380,0.20%,133523620,89.80%,80000,0.05%,13530790,9.10%,743450,0.50%,594760,0.40%,30000,0.02%,0,0.00%
Barbados, Barbados,Latin America and the Caribbean,Caribbean,270000,257040,95.20%,2700,1.00%,5130,1.90%,1080,0.40%,0,0.00%,0,0.00%,3780,1.40%,0,0.00%
Belarus, Belarus,Europe,Eastern Europe,9600000,6835200,71.20%,19200,0.20%,2745600,28.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Belgium, Belgium,Europe,Western Europe,10710000,6875820,64.20%,631890,5.90%,3105900,29.00%,0,0.00%,21420,0.20%,21420,0.20%,10000,0.09%,32130,0.30%
Belize, Belize,Latin America and the Caribbean,Mexico and Central America,310000,271560,87.60%,310,0.10%,27590,8.90%,620,0.20%,1550,0.50%,4650,1.50%,310,0.10%,3100,1.00%
Benin, Benin,Sub-Saharan Africa,Western Africa,8850000,4690500,53.00%,2106300,23.80%,442500,5.00%,0,0.00%,0,0.00%,1601850,18.10%,0,0.00%,0,0.00%
Bermuda, Bermuda,Northern America,Northern America,60000,45000,75.00%,660,1.10%,11640,19.40%,0,0.00%,300,0.50%,1800,3.00%,480,0.80%,180,0.30%
Bhutan, Bhutan,Asia and the Pacific,Southern Asia,730000,3650,0.50%,1460,0.20%,0,0.00%,164980,22.60%,545310,74.70%,13870,1.90%,0,0.00%,0,0.00%
Bolivia, Bolivia,Latin America and the Caribbean,South America,9930000,9324270,93.90%,0,0.00%,407130,4.10%,0,0.00%,0,0.00%,89370,0.90%,99300,1.00%,0,0.00%
Bosnia-Herzegovina, Bosnia-Herzegovina,Europe,Southeastern Europe,3760000,1966480,52.30%,1699520,45.20%,94000,2.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Botswana, Botswana,Sub-Saharan Africa,Southern Africa,2010000,1449210,72.10%,8040,0.40%,414060,20.60%,6030,0.30%,0,0.00%,120600,6.00%,12060,0.60%,0,0.00%
Brazil, Brazil,Latin America and the Caribbean,South America,194950000,173310550,88.90%,40000,0.02%,15401050,7.90%,0,0.00%,194950,0.10%,5458600,2.80%,389900,0.20%,110000,0.06%
British Virgin Islands, British Virgin Islands,Latin America and the Caribbean,Caribbean,20000,16900,84.50%,240,1.20%,780,3.90%,240,1.20%,0,0.00%,1680,8.40%,160,0.80%,0,0.00%
Brunei, Brunei,Asia and the Pacific,Southeastern Asia,400000,37600,9.40%,300400,75.10%,1600,0.40%,1200,0.30%,34400,8.60%,24800,6.20%,400,0.10%,0,0.00%
Bulgaria, Bulgaria,Europe,Southeastern Europe,7490000,6149290,82.10%,1026130,13.70%,314580,4.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Burkina Faso, Burkina Faso,Sub-Saharan Africa,Western Africa,16470000,3705750,22.50%,10145520,61.60%,65880,0.40%,0,0.00%,0,0.00%,2536380,15.40%,0,0.00%,0,0.00%
Burma, Burma,Asia and the Pacific,Southeastern Asia,47960000,3740880,7.80%,1918400,4.00%,239800,0.50%,815320,1.70%,38415960,80.10%,2781680,5.80%,95920,0.20%,0,0.00%
Burundi, Burundi,Sub-Saharan Africa,Eastern Africa,8380000,7667700,91.50%,234640,2.80%,0,0.00%,0,0.00%,0,0.00%,477660,5.70%,0,0.00%,0,0.00%
Cambodia, Cambodia,Asia and the Pacific,Southeastern Asia,14140000,56560,0.40%,282800,2.00%,28280,0.20%,0,0.00%,13701660,96.90%,84840,0.60%,0,0.00%,0,0.00%
Cameroon, Cameroon,Sub-Saharan Africa,Middle Africa,19600000,13778800,70.30%,3586800,18.30%,1038800,5.30%,0,0.00%,0,0.00%,646800,3.30%,529200,2.70%,0,0.00%
Canada, Canada,Northern America,Northern America,34020000,23473800,69.00%,714420,2.10%,8062740,23.70%,476280,1.40%,272160,0.80%,408240,1.20%,306180,0.90%,340200,1.00%
Cape Verde, Cape Verde,Sub-Saharan Africa,Western Africa,500000,445500,89.10%,500,0.10%,45500,9.10%,0,0.00%,0,0.00%,7500,1.50%,1000,0.20%,0,0.00%
Caribbean,Caribbean,Latin America and the Caribbean,Caribbean,41645000,33196375,79.71%,88910,0.21%,5378900,12.92%,338485,0.81%,16450,0.04%,2471050,5.93%,109725,0.26%,1870,0.00%
Cayman Islands, Cayman Islands,Latin America and the Caribbean,Caribbean,60000,50100,83.50%,240,0.40%,5640,9.40%,540,0.90%,0,0.00%,2700,4.50%,360,0.60%,480,0.80%
Central African Republic, Central African Republic,Sub-Saharan Africa,Middle Africa,4400000,3938000,89.50%,374000,8.50%,44000,1.00%,0,0.00%,0,0.00%,44000,1.00%,0,0.00%,0,0.00%
Central Asia,Central Asia,Asia and the Pacific,Central Asia,60720000,5646820,9.30%,53850160,88.69%,1042500,1.72%,0,0.00%,42060,0.07%,63420,0.10%,16030,0.03%,10000,0.02%
Central Europe,Central Europe,Europe,Central Europe,175940000,131306030,74.63%,5800290,3.30%,37874490,21.53%,110640,0.06%,294320,0.17%,40000,0.02%,102850,0.06%,308020,0.18%
Chad, Chad,Sub-Saharan Africa,Middle Africa,11230000,4559380,40.60%,6210190,55.30%,280750,2.50%,0,0.00%,0,0.00%,157220,1.40%,11230,0.10%,0,0.00%
Channel Islands,Channel Islands,Europe,Western Europe,150000,127800,85.20%,0,0.00%,21300,14.20%,0,0.00%,0,0.00%,0,0.00%,450,0.30%,0,0.00%
Chile, Chile,Latin America and the Caribbean,South America,17110000,15296340,89.40%,0,0.00%,1471460,8.60%,0,0.00%,10000,0.06%,256650,1.50%,34220,0.20%,17110,0.10%
China, China,Asia and the Pacific,Eastern Asia,1341340000,68408340,5.10%,24144120,1.80%,700179480,52.20%,20000,0.00%,244123880,18.20%,293753460,21.90%,9389380,0.70%,0,0.00%
Colombia, Colombia,Latin America and the Caribbean,South America,46290000,42818250,92.50%,10000,0.02%,3055140,6.60%,0,0.00%,0,0.00%,370320,0.80%,40000,0.09%,0,0.00%
Comoros, Comoros,Sub-Saharan Africa,Eastern Africa,730000,3650,0.50%,717590,98.30%,730,0.10%,0,0.00%,0,0.00%,7300,1.00%,0,0.00%,0,0.00%
"Congo, Democratic Republic of the"," Congo, Democratic Republic of the",Sub-Saharan Africa,Middle Africa,65970000,63199260,95.80%,989550,1.50%,1187460,1.80%,30000,0.05%,0,0.00%,461790,0.70%,65970,0.10%,0,0.00%
"Congo, Republic of the"," Congo, Republic of the",Sub-Saharan Africa,Middle Africa,4040000,3470360,85.90%,48480,1.20%,363600,9.00%,0,0.00%,0,0.00%,113120,2.80%,44440,1.10%,0,0.00%
Cook Islands, Cook Islands,Asia and the Pacific,Polynesia,20000,19200,96.00%,0,0.00%,640,3.20%,0,0.00%,0,0.00%,0,0.00%,160,0.80%,0,0.00%
Costa Rica, Costa Rica,Latin America and the Caribbean,Mexico and Central America,4660000,4235940,90.90%,0,0.00%,368140,7.90%,0,0.00%,0,0.00%,37280,0.80%,13980,0.30%,0,0.00%
,,,,,,,,,,,,,,,,,,,,
Croatia, Croatia,Europe,Central Europe,4400000,4109600,93.40%,61600,1.40%,224400,5.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Cuba, Cuba,Latin America and the Caribbean,Caribbean,11260000,6665920,59.20%,0,0.00%,2589800,23.00%,22520,0.20%,0,0.00%,1959240,17.40%,0,0.00%,0,0.00%
Cyprus, Cyprus,Asia and the Pacific,Western Asia,1100000,805200,73.20%,278300,25.30%,13200,1.20%,0,0.00%,2200,0.20%,0,0.00%,0,0.00%,0,0.00%
Czech Republic, Czech Republic,Europe,Central Europe,10490000,2444170,23.30%,0,0.00%,8014360,76.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Denmark, Denmark,Europe,Northern Europe,5550000,4634250,83.50%,227550,4.10%,654900,11.80%,22200,0.40%,11100,0.20%,0,0.00%,0,0.00%,0,0.00%
Djibouti (Horn of Africa), Djibouti (Horn of Africa),Sub-Saharan Africa,Eastern Africa,890000,20470,2.30%,862410,96.90%,1780,0.20%,0,0.00%,0,0.00%,2670,0.30%,0,0.00%,1780,0.20%
Dominica, Dominica,Latin America and the Caribbean,Caribbean,70000,66080,94.40%,70,0.10%,350,0.50%,0,0.00%,70,0.10%,2100,3.00%,1190,1.70%,0,0.00%
Dominican Republic, Dominican Republic,Latin America and the Caribbean,Caribbean,9930000,8738400,88.00%,0,0.00%,1082370,10.90%,0,0.00%,0,0.00%,89370,0.90%,9930,0.10%,0,0.00%
Eastern Africa,Eastern Africa,Sub-Saharan Africa,Eastern Africa,333970000,238006180,71.27%,73510760,22.01%,9371310,2.81%,982040,0.29%,1700,0.00%,11288190,3.38%,760090,0.23%,11780,0.00%
Eastern Asia,Eastern Asia,Asia and the Pacific,Eastern Asia,1573980000,87472510,5.56%,24719860,1.57%,820002340,52.10%,78200,0.00%,308820470,19.62%,309220410,19.65%,22447060,1.43%,0,0.00%
Eastern Europe,Eastern Europe,Europe,Eastern Europe,202360000,153561730,75.89%,15326050,7.57%,32616720,16.12%,40000,0.02%,162960,0.08%,285920,0.14%,0,0.00%,331370,0.16%
Ecuador, Ecuador,Latin America and the Caribbean,South America,14460000,13606860,94.10%,0,0.00%,795300,5.50%,0,0.00%,0,0.00%,43380,0.30%,0,0.00%,0,0.00%
Egypt, Egypt,The Middle East and North Africa,North Africa,81120000,4137120,5.10%,76982880,94.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
El Salvador, El Salvador,Latin America and the Caribbean,Mexico and Central America,6190000,5459580,88.20%,0,0.00%,680900,11.00%,0,0.00%,0,0.00%,30950,0.50%,18570,0.30%,0,0.00%
Equatorial Guinea, Equatorial Guinea,Sub-Saharan Africa,Middle Africa,700000,620900,88.70%,28000,4.00%,35000,5.00%,0,0.00%,0,0.00%,11900,1.70%,3500,0.50%,0,0.00%
Eritrea (Horn of Africa), Eritrea (Horn of Africa),Sub-Saharan Africa,Eastern Africa,5250000,3302250,62.90%,1921500,36.60%,5250,0.10%,0,0.00%,0,0.00%,21000,0.40%,0,0.00%,0,0.00%
Estonia (Baltic states), Estonia (Baltic states),Europe,Central Europe,1340000,534660,39.90%,2680,0.20%,798640,59.60%,0,0.00%,0,0.00%,10,0.00%,0,0.00%,1340,0.10%
Ethiopia (Horn of Africa), Ethiopia (Horn of Africa),Sub-Saharan Africa,Eastern Africa,82950000,52092600,62.80%,28700700,34.60%,50000,0.06%,0,0.00%,0,0.00%,2156700,2.60%,0,0.00%,0,0.00%
Europe,Europe,Europe,Europe,742520800,558221460,75.18%,43459510,5.85%,134783940,18.15%,1250000,0.17%,1347330,0.18%,929660,0.13%,876180,0.12%,1457920,0.20%
Falkland Islands, Falkland Islands,Latin America and the Caribbean,South America,3000,2016,67.20%,9,0.30%,945,31.50%,0,0.00%,6,0.20%,0,0.00%,24,0.80%,0,0.00%
Faroe Islands, Faroe Islands,Europe,Northern Europe,50000,49000,98.00%,0,0.00%,850,1.70%,0,0.00%,0,0.00%,0,0.00%,150,0.30%,0,0.00%
Fiji, Fiji,Asia and the Pacific,Melanesia,860000,553840,64.40%,54180,6.30%,6880,0.80%,239940,27.90%,0,0.00%,0,0.00%,4300,0.50%,0,0.00%
Finland, Finland,Europe,Northern Europe,5360000,4373760,81.60%,42880,0.80%,943360,17.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
France, France,Europe,Western Europe,62790000,39557700,63.00%,4709250,7.50%,17581200,28.00%,30000,0.05%,313950,0.50%,188370,0.30%,125580,0.20%,313950,0.50%
French Guiana, French Guiana,Latin America and the Caribbean,South America,230000,194120,84.40%,2070,0.90%,7820,3.40%,3680,1.60%,0,0.00%,20930,9.10%,1150,0.50%,0,0.00%
French Polynesia, French Polynesia,Asia and the Pacific,Polynesia,270000,253800,94.00%,0,0.00%,13230,4.90%,0,0.00%,0,0.00%,1350,0.50%,1080,0.40%,0,0.00%
Gabon, Gabon,Sub-Saharan Africa,Middle Africa,1510000,1155150,76.50%,169120,11.20%,84560,5.60%,0,0.00%,0,0.00%,90600,6.00%,10570,0.70%,0,0.00%
Georgia, Georgia,Europe,Eastern Europe,4350000,3849750,88.50%,465450,10.70%,30450,0.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Germany, Germany,Europe,Central Europe,82300000,56540100,68.70%,4773400,5.80%,20328100,24.70%,80000,0.10%,246900,0.30%,40000,0.05%,82300,0.10%,246900,0.30%
Ghana, Ghana,Sub-Saharan Africa,Western Africa,24390000,18268110,74.90%,3853620,15.80%,1024380,4.20%,0,0.00%,0,0.00%,1195110,4.90%,48780,0.20%,0,0.00%
Gibraltar, Gibraltar,Europe,Southern Europe,30000,26640,88.80%,1200,4.00%,870,2.90%,540,1.80%,0,0.00%,0,0.00%,90,0.30%,630,2.10%
Greece, Greece,Europe,Southeastern Europe,11360000,10008160,88.10%,602080,5.30%,692960,6.10%,11360,0.10%,0,0.00%,11360,0.10%,0,0.00%,0,0.00%
Greenland, Greenland,Northern America,Northern America,60000,57660,96.10%,0,0.00%,1500,2.50%,0,0.00%,0,0.00%,480,0.80%,360,0.60%,0,0.00%
Grenada, Grenada,Latin America and the Caribbean,Caribbean,100000,96600,96.60%,300,0.30%,1000,1.00%,700,0.70%,0,0.00%,1300,1.30%,200,0.20%,0,0.00%
Guadeloupe, Guadeloupe,Latin America and the Caribbean,Caribbean,460000,441140,95.90%,1840,0.40%,11500,2.50%,2300,0.50%,0,0.00%,1840,0.40%,1840,0.40%,0,0.00%
Guam, Guam,Asia and the Pacific,Micronesia,180000,169560,94.20%,0,0.00%,3060,1.70%,0,0.00%,1980,1.10%,2700,1.50%,2880,1.60%,0,0.00%
Guatemala, Guatemala,Latin America and the Caribbean,Mexico and Central America,14390000,13699280,95.20%,0,0.00%,589990,4.10%,0,0.00%,0,0.00%,86340,0.60%,10000,0.07%,0,0.00%
Guinea, Guinea,Sub-Saharan Africa,Western Africa,9980000,1087820,10.90%,8423120,84.40%,179640,1.80%,0,0.00%,0,0.00%,269460,2.70%,0,0.00%,0,0.00%
Guinea-Bissau, Guinea-Bissau,Sub-Saharan Africa,Western Africa,1520000,299440,19.70%,685520,45.10%,65360,4.30%,0,0.00%,0,0.00%,469680,30.90%,0,0.00%,0,0.00%
Guyana, Guyana,Latin America and the Caribbean,South America,750000,495000,66.00%,48000,6.40%,15000,2.00%,186750,24.90%,0,0.00%,1500,0.20%,4500,0.60%,0,0.00%
Haiti, Haiti,Latin America and the Caribbean,Caribbean,9990000,8681310,86.90%,0,0.00%,1058940,10.60%,0,0.00%,0,0.00%,219780,2.20%,29970,0.30%,0,0.00%
Honduras, Honduras,Latin America and the Caribbean,Mexico and Central America,7600000,6657600,87.60%,7600,0.10%,798000,10.50%,0,0.00%,7600,0.10%,83600,1.10%,45600,0.60%,0,0.00%
Hong Kong, Hong Kong,Asia and the Pacific,Eastern Asia,7050000,1008150,14.30%,126900,1.80%,3955050,56.10%,28200,0.40%,930600,13.20%,902400,12.80%,105750,1.50%,0,0.00%
Hungary, Hungary,Europe,Central Europe,9980000,8083800,81.00%,0,0.00%,1856280,18.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9980,0.10%
Iceland, Iceland,Europe,Northern Europe,320000,304000,95.00%,640,0.20%,11200,3.50%,960,0.30%,1280,0.40%,1600,0.50%,640,0.20%,0,0.00%
India, India,Asia and the Pacific,Southern Asia,1224610000,30615250,2.50%,176343840,14.40%,870000,0.07%,973564950,79.50%,9796880,0.80%,6123050,0.50%,28166030,2.30%,10000,0.00%
Indonesia, Indonesia,Asia and the Pacific,Southeastern Asia,239870000,23747130,9.90%,209166640,87.20%,240000,0.10%,4077790,1.70%,1679090,0.70%,719610,0.30%,239870,0.10%,0,0.00%
Iran, Iran,Asia and the Pacific,Western Asia,73970000,147940,0.20%,73600150,99.50%,73970,0.10%,20000,0.03%,0,0.00%,0,0.00%,147940,0.20%,0,0.00%
Iraq, Iraq,The Middle East and North Africa,The Middle East,31670000,253360,0.80%,31353300,99.00%,31670,0.10%,0,0.00%,0,0.00%,0,0.00%,20000,0.06%,0,0.00%
Ireland, Ireland,Europe,Western Europe,4470000,4112400,92.00%,49170,1.10%,277140,6.20%,8940,0.20%,8940,0.20%,8940,0.20%,0,0.00%,0,0.00%
Isle of Man, Isle of Man,Europe,Western Europe,80000,67280,84.10%,160,0.20%,12320,15.40%,160,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Israel, Israel,The Middle East and North Africa,The Middle East,7420000,148400,2.00%,1380120,18.60%,230020,3.10%,0,0.00%,22260,0.30%,14840,0.20%,7420,0.10%,5609520,75.60%
Italy, Italy,Europe,Southern Europe,60550000,50438150,83.30%,2240350,3.70%,7508200,12.40%,60550,0.10%,121100,0.20%,60550,0.10%,60000,0.10%,50000,0.08%
Ivory Coast, Ivory Coast,Sub-Saharan Africa,Western Africa,19740000,8705340,44.10%,7402500,37.50%,1579200,8.00%,0,0.00%,0,0.00%,2013480,10.20%,39480,0.20%,0,0.00%
Jamaica, Jamaica,Latin America and the Caribbean,Caribbean,2740000,2115280,77.20%,0,0.00%,471280,17.20%,0,0.00%,0,0.00%,123300,4.50%,27400,1.00%,0,0.00%
Japan, Japan,Asia and the Pacific,Eastern Asia,126540000,2024640,1.60%,253080,0.20%,72127800,57.00%,30000,0.02%,45807480,36.20%,506160,0.40%,5947380,4.70%,0,0.00%
Jordan, Jordan,The Middle East and North Africa,The Middle East,6190000,136180,2.20%,6016680,97.20%,0,0.00%,6190,0.10%,24760,0.40%,0,0.00%,0,0.00%,0,0.00%
Kazakhstan, Kazakhstan,Asia and the Pacific,Central Asia,16030000,3975440,24.80%,11285120,70.40%,673260,4.20%,0,0.00%,32060,0.20%,48090,0.30%,16030,0.10%,0,0.00%
Kenya, Kenya,Sub-Saharan Africa,Eastern Africa,40510000,34352480,84.80%,3929470,9.70%,1012750,2.50%,40510,0.10%,0,0.00%,688670,1.70%,486120,1.20%,0,0.00%
Kiribati, Kiribati,Asia and the Pacific,Micronesia,100000,97000,97.00%,0,0.00%,800,0.80%,0,0.00%,0,0.00%,0,0.00%,2200,2.20%,0,0.00%
Kosovo, Kosovo,Europe,Southeastern Europe,2080000,237120,11.40%,1809600,87.00%,33280,1.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Kuwait, Kuwait,The Middle East and North Africa,The Middle East,2740000,391820,14.30%,2030340,74.10%,0,0.00%,232900,8.50%,76720,2.80%,0,0.00%,8220,0.30%,0,0.00%
Kyrgyzstan, Kyrgyzstan,Asia and the Pacific,Central Asia,5330000,607620,11.40%,4690400,88.00%,21320,0.40%,0,0.00%,0,0.00%,5330,0.10%,0,0.00%,0,0.00%
Laos, Laos,Asia and the Pacific,Southeastern Asia,6200000,93000,1.50%,0,0.00%,55800,0.90%,0,0.00%,4092000,66.00%,1903400,30.70%,43400,0.70%,0,0.00%
Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,590058000,531221041,90.03%,791619,0.13%,45391855,7.69%,632495,0.11%,318876,0.05%,9955970,1.69%,1067989,0.18%,429360,0.07%
Latvia (Baltic states), Latvia (Baltic states),Europe,Central Europe,2250000,1255500,55.80%,2250,0.10%,985500,43.80%,0,0.00%,0,0.00%,0,0.00%,4500,0.20%,0,0.00%
Lebanon, Lebanon,The Middle East and North Africa,The Middle East,4230000,1620090,38.30%,2592990,61.30%,12690,0.30%,0,0.00%,8460,0.20%,0,0.00%,0,0.00%,0,0.00%
Lesotho, Lesotho,Sub-Saharan Africa,Southern Africa,2170000,2100560,96.80%,0,0.00%,67270,3.10%,0,0.00%,0,0.00%,2170,0.10%,0,0.00%,0,0.00%
Liberia, Liberia,Sub-Saharan Africa,Western Africa,3990000,3427410,85.90%,478800,12.00%,55860,1.40%,0,0.00%,0,0.00%,19950,0.50%,3990,0.10%,0,0.00%
Libya, Libya,The Middle East and North Africa,North Africa,6360000,171720,2.70%,6143760,96.60%,12720,0.20%,0,0.00%,19080,0.30%,0,0.00%,0,0.00%,0,0.00%
Liechtenstein, Liechtenstein,Europe,Central Europe,40000,36760,91.90%,2000,5.00%,1160,2.90%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,40,0.10%
Lithuania (Baltic states), Lithuania (Baltic states),Europe,Central Europe,3320000,2981360,89.80%,0,0.00%,332000,10.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Luxembourg, Luxembourg,Europe,Western Europe,510000,359040,70.40%,11730,2.30%,136680,26.80%,0,0.00%,0,0.00%,0,0.00%,1530,0.30%,510,0.10%
Macau, Macau,Asia and the Pacific,Eastern Asia,540000,38880,7.20%,1080,0.20%,83160,15.40%,0,0.00%,93420,17.30%,318060,58.90%,5400,1.00%,0,0.00%
Macedonia, Macedonia,Europe,Southeastern Europe,2060000,1221580,59.30%,809580,39.30%,28840,1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Madagascar, Madagascar,Sub-Saharan Africa,Eastern Africa,20710000,17665630,85.30%,621300,3.00%,1428990,6.90%,10000,0.05%,0,0.00%,931950,4.50%,20000,0.10%,0,0.00%
Malawi, Malawi,Sub-Saharan Africa,Eastern Africa,14900000,12322300,82.70%,1937000,13.00%,372500,2.50%,0,0.00%,0,0.00%,253300,1.70%,0,0.00%,0,0.00%
Malaysia, Malaysia,Asia and the Pacific,Southeastern Asia,28400000,2669600,9.40%,18090800,63.70%,198800,0.70%,1704000,6.00%,5026800,17.70%,653200,2.30%,56800,0.20%,0,0.00%
Maldives, Maldives,Asia and the Pacific,Southern Asia,320000,1280,0.40%,314880,98.40%,0,0.00%,960,0.30%,1920,0.60%,0,0.00%,0,0.00%,0,0.00%
Mali, Mali,Sub-Saharan Africa,Western Africa,15370000,491840,3.20%,14201880,92.40%,414990,2.70%,0,0.00%,0,0.00%,245920,1.60%,0,0.00%,0,0.00%
Malta, Malta,Europe,Southern Europe,420000,407400,97.00%,840,0.20%,10500,2.50%,840,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Marshall Islands, Marshall Islands,Asia and the Pacific,Micronesia,50000,48750,97.50%,0,0.00%,750,1.50%,0,0.00%,0,0.00%,150,0.30%,400,0.80%,0,0.00%
Martinique, Martinique,Latin America and the Caribbean,Caribbean,410000,395650,96.50%,820,0.20%,9430,2.30%,820,0.20%,0,0.00%,820,0.20%,2460,0.60%,0,0.00%
Mauritania, Mauritania,Sub-Saharan Africa,Western Africa,3460000,10380,0.30%,3428860,99.10%,3460,0.10%,0,0.00%,0,0.00%,17300,0.50%,0,0.00%,0,0.00%
Mauritius, Mauritius,Sub-Saharan Africa,Eastern Africa,1300000,328900,25.30%,217100,16.70%,7800,0.60%,733200,56.40%,0,0.00%,9100,0.70%,3900,0.30%,0,0.00%
Mayotte, Mayotte,Sub-Saharan Africa,Eastern Africa,200000,1400,0.70%,197200,98.60%,400,0.20%,0,0.00%,0,0.00%,1000,0.50%,0,0.00%,0,0.00%
Melanesia,Melanesia,Asia and the Pacific,Melanesia,8750000,8321840,95.11%,61180,0.70%,36840,0.42%,239940,2.74%,3120,0.04%,44800,0.51%,27160,0.31%,0,0.00%
Mexico, Mexico,Latin America and the Caribbean,Mexico and Central America,113420000,107862420,95.10%,0,0.00%,5330740,4.70%,0,0.00%,0,0.00%,70000,0.06%,20000,0.02%,70000,0.06%
Mexico and Central America,Mexico and Central America,Latin America and the Caribbean,Mexico and Central America,155880000,146427800,93.94%,32550,0.02%,8688070,5.57%,620,0.00%,16190,0.01%,407960,0.26%,128330,0.08%,87180,0.06%
Micronesia, Micronesia,Asia and the Pacific,Micronesia,110000,104830,95.30%,0,0.00%,990,0.90%,0,0.00%,440,0.40%,2970,2.70%,770,0.70%,0,0.00%
Micronesia,Micronesia,Asia and the Pacific,Micronesia,530000,494160,93.24%,420,0.08%,6890,1.30%,0,0.00%,9050,1.71%,9970,1.88%,9730,1.84%,0,0.00%
